What is your gender?,More likely to graduate high school with an advanced diploma.,More likely to graduate with a standard diploma.,More likely to study for 1-3 hours.,More likely to study for 3+ hours.,More likely to take advanced classes like AP or honors.,More likely to take secondary schools. (Ex governors school),More likely to take standard classes.,More likely to go to college.,More likely to take a 4+ year program in college.,More likely to have a job that pays 20-40k.,More likely to have a job that pays 40-60k.,More likely to have a job that pays 60k+.,More likely to have a hard labor workplace.,More likely to have a office job.,More likely to work in the food industry.,More likely to pursue a dream job.,More likely to start a business.,More likely to be laid off from there job.,More likely to retire before 55.,Is the survey biased?
Male,4,5,3,4,3,4,5,5,5,5,5,6,7,5,4,3,4,6,5,5
Male,4,6,3,5,5,4,6,5,5,3,4,8,9,4,4,5,7,5,4,4
Female,1,10,7,1,1,1,10,1,1,7,7,10,6,3,1,2,9,3,9,4
Female,5,5,5,5,5,4,5,4,5,5,5,6,6,6,5,3,3,5,5,2
Male,4,8,5,4,5,4,8,5,3,5,4,6,10,1,3,6,8,5,4,1
Female,4,5,4,4,4,4,5,4,4,5,5,5,6,5,5,5,4,5,6,6
Female,5,8,5,5,5,5,5,5,5,5,5,5,10,4,5,1,5,5,3,9
Male,5,6,3,3,3,3,7,5,4,7,6,3,7,4,9,6,10,4,5,9
Female,3,7,5,5,5,5,8,4,3,5,5,5,6,4,4,5,4,4,5,5
Female,4,6,6,4,5,6,5,5,5,4,6,6,7,5,5,5,5,5,6,7
Male,4,5,7,3,3,2,5,4,2,4,5,6,4,3,5,5,5,7,4,5
Female,2,9,5,5,1,4,8,2,4,3,7,9,7,3,3,7,5,8,2,10
Male,1,7,9,3,2,2,6,6,3,4,4,7,10,3,5,9,8,4,5,6
Female,2,8,5,5,5,5,5,5,5,5,5,6,7,5,5,5,5,5,5,5
Male,5,5,4,4,5,5,5,5,5,5,5,6,9,4,5,5,5,5,6,5
Male,6,4,4,5,4,5,5,5,6,3,4,9,10,3,4,9,10,7,4,8
Male,3,9,7,1,4,3,8,3,3,5,5,8,9,3,4,1,9,4,8,6
Male,1,8,3,1,3,4,8,5,1,4,4,5,10,5,5,5,5,5,5,1
Female,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Male,3,8,2,1,3,4,6,3,3,5,6,7,8,4,5,5,5,6,6,6
